episode,steps,totalReward,epsilon,completed,died
1,120,1,1.0,True,False
2,172,0,0.9999472222222222,False,True
3,203,0,0.9998944444444444,False,True
4,234,0,0.9998416666666666,False,True
5,188,0,0.9997888888888888,False,True
6,48,0,0.9997361111111112,False,True
7,122,0,0.9996833333333334,False,True
8,39,0,0.9996305555555556,False,True
9,82,0,0.9995777777777778,False,True
10,195,0,0.999525,False,True
11,135,1,0.9994722222222222,True,False
12,80,0,0.9994194444444444,False,True
13,120,0,0.9993666666666666,False,True
14,238,0,0.9993138888888888,False,True
15,400,0,0.9992611111111112,False,False
16,400,0,0.9992083333333334,False,False
17,400,0,0.9991555555555556,False,False
18,38,0,0.9991027777777778,False,True
19,300,0,0.99905,False,True
20,118,0,0.9989972222222222,False,True
21,235,0,0.9989444444444444,False,True
22,43,0,0.9988916666666666,False,True
23,29,0,0.9988388888888889,False,True
24,122,0,0.9987861111111112,False,True
25,67,0,0.9987333333333334,False,True
26,209,1,0.9986805555555556,True,False
27,110,0,0.9986277777777778,False,True
28,400,0,0.998575,False,False
29,67,0,0.9985222222222222,False,True
30,338,1,0.9984694444444444,True,False
31,236,1,0.9984166666666666,True,False
32,147,0,0.9983638888888889,False,True
33,239,0,0.9983111111111111,False,True
34,90,0,0.9982583333333334,False,True
35,400,0,0.9982055555555556,False,False
36,60,0,0.9981527777777778,False,True
37,171,0,0.9981,False,True
38,360,0,0.9980472222222222,False,True
39,306,0,0.9979944444444444,False,True
40,38,0,0.9979416666666666,False,True
41,145,1,0.9978888888888889,True,False
42,27,0,0.9978361111111111,False,True
43,253,0,0.9977833333333334,False,True
44,102,0,0.9977305555555556,False,True
45,54,0,0.9976777777777778,False,True
46,178,0,0.997625,False,True
47,131,0,0.9975722222222222,False,True
48,66,0,0.9975194444444444,False,True
49,81,0,0.9974666666666666,False,True
50,242,1,0.9974138888888889,True,False
51,100,0,0.9973611111111111,False,True
52,30,0,0.9973083333333334,False,True
53,29,0,0.9972555555555556,False,True
54,160,0,0.9972027777777778,False,True
55,39,0,0.99715,False,True
56,246,0,0.9970972222222222,False,True
57,173,0,0.9970444444444444,False,True
58,34,0,0.9969916666666667,False,True
59,191,0,0.9969388888888889,False,True
60,211,0,0.9968861111111111,False,True
61,23,0,0.9968333333333333,False,True
62,219,1,0.9967805555555556,True,False
63,400,0,0.9967277777777778,False,False
64,184,1,0.996675,True,False
65,400,0,0.9966222222222222,False,False
66,33,0,0.9965694444444444,False,True
67,400,0,0.9965166666666667,False,False
68,400,0,0.9964638888888889,False,False
69,72,0,0.9964111111111111,False,True
70,400,0,0.9963583333333333,False,False
71,80,0,0.9963055555555556,False,True
72,184,0,0.9962527777777778,False,True
73,296,0,0.9962,False,True
74,124,1,0.9961472222222222,True,False
75,208,1,0.9960944444444444,True,False
76,154,0,0.9960416666666667,False,True
77,400,0,0.9959888888888889,False,False
78,197,0,0.9959361111111111,False,True
79,281,0,0.9958833333333333,False,True
80,195,0,0.9958305555555556,False,True
81,127,0,0.9957777777777778,False,True
82,44,0,0.995725,False,True
83,239,0,0.9956722222222222,False,True
84,400,0,0.9956194444444444,False,False
85,400,0,0.9955666666666667,False,False
86,26,0,0.9955138888888889,False,True
