episode,steps,totalReward,epsilon,completed,died
1,72,-1.7100000000000004,1.0,False,True
2,322,18.78,0.9999472222222222,True,False
3,400,-3.9999999999999587,0.9998944444444444,False,False
4,149,20.509999999999998,0.9998416666666666,True,False
5,400,-2.999999999999981,0.9997888888888888,False,False
6,36,-1.35,0.9997361111111112,False,True
7,102,-2.0100000000000007,0.9996833333333334,False,True
8,249,-3.479999999999991,0.9996305555555556,False,True
9,400,-3.9999999999999587,0.9995777777777778,False,False
10,75,-1.7400000000000004,0.999525,False,True
11,400,-3.9999999999999587,0.9994722222222222,False,False
12,94,-1.9300000000000006,0.9994194444444444,False,True
13,55,-1.5400000000000003,0.9993666666666666,False,True
14,271,-2.6999999999999926,0.9993138888888888,False,True
15,400,-3.9999999999999587,0.9992611111111112,False,False
16,400,-2.999999999999959,0.9992083333333334,False,False
17,211,-3.099999999999999,0.9991555555555556,False,True
18,400,-2.999999999999959,0.9991027777777778,False,False
19,187,-1.8600000000000014,0.99905,False,True
20,256,-3.5499999999999896,0.9989972222222222,False,True
21,70,-1.6900000000000004,0.9989444444444444,False,True
22,90,-1.8900000000000006,0.9988916666666666,False,True
23,144,-2.430000000000001,0.9988388888888889,False,True
24,400,-2.9999999999999676,0.9987861111111112,False,False
25,133,-2.320000000000001,0.9987333333333334,False,True
26,73,-1.7200000000000004,0.9986805555555556,False,True
27,248,-2.4700000000000015,0.9986277777777778,False,True
28,136,20.639999999999997,0.998575,True,False
29,106,-2.0500000000000007,0.9985222222222222,False,True
30,251,-2.5000000000000018,0.9984694444444444,False,True
31,392,-4.909999999999961,0.9984166666666666,False,True
32,319,-3.1799999999999895,0.9983638888888889,False,True
33,400,-2.999999999999981,0.9983111111111111,False,False
34,117,-2.160000000000001,0.9982583333333334,False,True
35,195,-2.9400000000000013,0.9982055555555556,False,True
36,120,-2.190000000000001,0.9981527777777778,False,True
37,155,-2.540000000000001,0.9981,False,True
38,384,-4.829999999999963,0.9980472222222222,False,True
39,249,-3.479999999999991,0.9979944444444444,False,True
40,141,-2.4000000000000012,0.9979416666666666,False,True
41,352,18.480000000000015,0.9978888888888889,True,False
42,159,-1.580000000000001,0.9978361111111111,False,True
43,400,-3.9999999999999587,0.9977833333333334,False,False
44,95,-1.9400000000000006,0.9977305555555556,False,True
45,171,-1.700000000000001,0.9976777777777778,False,True
46,283,19.17,0.997625,True,False
47,400,-3.9999999999999587,0.9975722222222222,False,False
48,362,-4.6099999999999675,0.9975194444444444,False,True
49,58,-1.5700000000000003,0.9974666666666666,False,True
50,152,20.479999999999997,0.9974138888888889,True,False
51,400,-2.9999999999999805,0.9973611111111111,False,False
52,400,-3.9999999999999587,0.9973083333333334,False,False
53,400,-3.9999999999999587,0.9972555555555556,False,False
54,124,-2.230000000000001,0.9972027777777778,False,True
55,221,-3.199999999999997,0.99715,False,True
56,400,-2.9999999999999702,0.9970972222222222,False,False
57,179,-2.780000000000001,0.9970444444444444,False,True
58,32,-1.31,0.9969916666666667,False,True
59,400,-2.999999999999981,0.9969388888888889,False,False
60,294,-3.9299999999999815,0.9968861111111111,False,True
61,156,-2.550000000000001,0.9968333333333333,False,True
62,400,-3.9999999999999587,0.9967805555555556,False,False
63,85,-1.8400000000000005,0.9967277777777778,False,True
64,260,-3.5899999999999888,0.996675,False,True
65,28,-1.27,0.9966222222222222,False,True
66,304,-4.02999999999998,0.9965694444444444,False,True
67,303,-4.01999999999998,0.9965166666666667,False,True
68,128,-2.270000000000001,0.9964638888888889,False,True
69,400,-2.999999999999959,0.9964111111111111,False,False
70,400,-3.9999999999999587,0.9963583333333333,False,False
71,73,-1.7200000000000004,0.9963055555555556,False,True
72,400,-3.9999999999999587,0.9962527777777778,False,False
73,262,19.38000000000001,0.9962,True,False
74,400,-3.9999999999999587,0.9961472222222222,False,False
75,400,-2.9999999999999805,0.9960944444444444,False,False
76,193,-2.9200000000000017,0.9960416666666667,False,True
77,51,-1.5000000000000002,0.9959888888888889,False,True
78,79,-0.7800000000000005,0.9959361111111111,False,True
79,206,-3.0500000000000003,0.9958833333333333,False,True
80,105,-2.040000000000001,0.9958305555555556,False,True
81,299,-3.9799999999999804,0.9957777777777778,False,True
82,400,-3.9999999999999587,0.995725,False,False
83,400,-3.9999999999999587,0.9956722222222222,False,False
84,400,-2.9999999999999805,0.9956194444444444,False,False
85,36,-1.35,0.9955666666666667,False,True
86,151,-2.500000000000001,0.9955138888888889,False,True
87,237,-2.360000000000001,0.9954611111111111,False,True
88,400,-2.9999999999999605,0.9954083333333333,False,False
89,70,-1.6900000000000004,0.9953555555555555,False,True
90,400,-3.9999999999999587,0.9953027777777778,False,False
91,400,-2.999999999999959,0.99525,False,False
92,153,20.47,0.9951972222222222,True,False
93,172,-2.7100000000000013,0.9951444444444445,False,True
94,95,-1.9400000000000006,0.9950916666666667,False,True
95,157,-1.5600000000000012,0.9950388888888889,False,True
96,94,-1.9300000000000006,0.9949861111111111,False,True
97,400,-2.999999999999964,0.9949333333333333,False,False
98,254,-3.52999999999999,0.9948805555555555,False,True
99,126,-2.250000000000001,0.9948277777777778,False,True
100,125,20.749999999999996,0.994775,True,False
101,153,-1.520000000000001,0.9947222222222222,False,True
102,54,-1.5300000000000002,0.9946694444444445,False,True
103,305,-4.03999999999998,0.9946166666666667,False,True
