episode,steps,totalReward,epsilon,completed
1,400,0,1.0,False
2,400,0,0.9986428571428572,False
3,391,1,0.9972857142857143,True
4,293,1,0.9959285714285714,True
5,368,1,0.9945714285714286,True
6,400,0,0.9932142857142857,False
7,142,1,0.9918571428571429,True
8,400,0,0.9905,False
9,249,1,0.9891428571428571,True
10,400,0,0.9877857142857143,False
11,400,0,0.9864285714285714,False
12,400,0,0.9850714285714286,False
13,400,0,0.9837142857142858,False
14,400,0,0.9823571428571428,False
15,400,0,0.981,False
16,381,1,0.9796428571428571,True
17,218,1,0.9782857142857143,True
18,400,0,0.9769285714285715,False
19,290,1,0.9755714285714285,True
20,400,0,0.9742142857142857,False
21,400,0,0.9728571428571429,False
22,152,1,0.9715,True
23,400,0,0.9701428571428572,False
24,344,1,0.9687857142857143,True
25,337,1,0.9674285714285714,True
26,190,1,0.9660714285714286,True
27,147,1,0.9647142857142857,True
28,400,0,0.9633571428571429,False
29,400,0,0.962,False
30,248,1,0.9606428571428571,True
31,400,0,0.9592857142857143,False
32,400,0,0.9579285714285715,False
33,163,1,0.9565714285714286,True
34,400,0,0.9552142857142857,False
35,124,1,0.9538571428571428,True
36,391,1,0.9525,True
37,325,1,0.9511428571428572,True
38,241,1,0.9497857142857142,True
39,192,1,0.9484285714285714,True
40,400,0,0.9470714285714286,False
41,125,1,0.9457142857142857,True
42,400,0,0.9443571428571429,False
43,154,1,0.9430000000000001,True
44,88,1,0.9416428571428571,True
45,349,1,0.9402857142857143,True
46,126,1,0.9389285714285714,True
47,162,1,0.9375714285714286,True
48,129,1,0.9362142857142857,True
49,349,1,0.9348571428571428,True
50,96,1,0.9335,True
51,208,1,0.9321428571428572,True
52,400,0,0.9307857142857143,False
53,176,1,0.9294285714285714,True
54,111,1,0.9280714285714285,True
55,264,1,0.9267142857142857,True
56,36,1,0.9253571428571429,True
57,63,1,0.924,True
58,37,1,0.9226428571428571,True
59,186,1,0.9212857142857143,True
60,116,1,0.9199285714285714,True
61,400,0,0.9185714285714286,False
62,233,1,0.9172142857142858,True
63,216,1,0.9158571428571429,True
64,172,1,0.9145,True
65,234,1,0.9131428571428571,True
66,77,1,0.9117857142857143,True
67,239,1,0.9104285714285714,True
68,400,0,0.9090714285714285,False
69,253,1,0.9077142857142857,True
70,202,1,0.9063571428571429,True
71,143,1,0.905,True
72,400,0,0.9036428571428572,False
73,134,1,0.9022857142857142,True
74,263,1,0.9009285714285714,True
75,59,1,0.8995714285714286,True
76,400,0,0.8982142857142857,False
77,252,1,0.8968571428571429,True
78,67,1,0.8955,True
79,327,1,0.8941428571428571,True
80,181,1,0.8927857142857143,True
81,400,0,0.8914285714285715,False
82,121,1,0.8900714285714286,True
83,186,1,0.8887142857142857,True
84,106,1,0.8873571428571428,True
85,82,1,0.886,True
86,147,1,0.8846428571428572,True
87,210,1,0.8832857142857142,True
88,193,1,0.8819285714285714,True
89,96,1,0.8805714285714286,True
90,130,1,0.8792142857142857,True
91,109,1,0.8778571428571429,True
92,339,1,0.8765000000000001,True
93,118,1,0.8751428571428571,True
94,168,1,0.8737857142857143,True
95,200,1,0.8724285714285714,True
96,396,1,0.8710714285714286,True
97,192,1,0.8697142857142857,True
98,182,1,0.8683571428571428,True
99,368,1,0.867,True
100,211,1,0.8656428571428572,True
