episode,steps,totalReward,epsilon,completed,died
1,57,0,1.0,False,True
2,48,0,0.9999472222222222,False,True
3,169,0,0.9998944444444444,False,True
4,7,0,0.9998416666666666,False,True
5,79,0,0.9997888888888888,False,True
6,281,0,0.9997361111111112,False,True
7,45,0,0.9996833333333334,False,True
8,238,0,0.9996305555555556,False,True
9,105,0,0.9995777777777778,False,True
10,83,0,0.999525,False,True
11,33,0,0.9994722222222222,False,True
12,97,0,0.9994194444444444,False,True
13,20,0,0.9993666666666666,False,True
14,134,0,0.9993138888888888,False,True
15,225,1,0.9992611111111112,True,False
16,24,0,0.9992083333333334,False,True
17,87,0,0.9991555555555556,False,True
18,242,1,0.9991027777777778,True,False
19,121,0,0.99905,False,True
20,380,0,0.9989972222222222,False,True
21,32,0,0.9989444444444444,False,True
22,67,0,0.9988916666666666,False,True
23,400,0,0.9988388888888889,False,False
24,10,0,0.9987861111111112,False,True
25,34,0,0.9987333333333334,False,True
26,32,0,0.9986805555555556,False,True
27,68,0,0.9986277777777778,False,True
28,17,0,0.998575,False,True
29,39,0,0.9985222222222222,False,True
30,19,0,0.9984694444444444,False,True
31,156,0,0.9984166666666666,False,True
32,20,0,0.9983638888888889,False,True
33,62,0,0.9983111111111111,False,True
34,58,0,0.9982583333333334,False,True
35,135,0,0.9982055555555556,False,True
36,264,0,0.9981527777777778,False,True
37,35,0,0.9981,False,True
38,22,0,0.9980472222222222,False,True
39,41,0,0.9979944444444444,False,True
40,99,0,0.9979416666666666,False,True
41,39,0,0.9978888888888889,False,True
42,241,0,0.9978361111111111,False,True
43,140,0,0.9977833333333334,False,True
44,259,0,0.9977305555555556,False,True
45,400,0,0.9976777777777778,False,False
46,40,0,0.997625,False,True
47,94,0,0.9975722222222222,False,True
48,137,1,0.9975194444444444,True,False
49,23,0,0.9974666666666666,False,True
50,102,0,0.9974138888888889,False,True
51,37,0,0.9973611111111111,False,True
52,375,0,0.9973083333333334,False,True
53,106,0,0.9972555555555556,False,True
54,26,0,0.9972027777777778,False,True
55,400,0,0.99715,False,False
56,203,0,0.9970972222222222,False,True
57,258,0,0.9970444444444444,False,True
58,309,0,0.9969916666666667,False,True
59,90,0,0.9969388888888889,False,True
60,186,0,0.9968861111111111,False,True
61,311,0,0.9968333333333333,False,True
62,239,0,0.9967805555555556,False,True
63,42,0,0.9967277777777778,False,True
64,330,0,0.996675,False,True
65,366,0,0.9966222222222222,False,True
66,400,0,0.9965694444444444,False,False
67,400,0,0.9965166666666667,False,False
68,185,1,0.9964638888888889,True,False
69,183,1,0.9964111111111111,True,False
70,25,0,0.9963583333333333,False,True
71,80,1,0.9963055555555556,True,False
72,19,0,0.9962527777777778,False,True
73,400,0,0.9962,False,False
74,127,0,0.9961472222222222,False,True
75,18,0,0.9960944444444444,False,True
76,338,0,0.9960416666666667,False,True
77,392,0,0.9959888888888889,False,True
78,133,1,0.9959361111111111,True,False
79,160,0,0.9958833333333333,False,True
80,214,0,0.9958305555555556,False,True
81,65,0,0.9957777777777778,False,True
82,137,0,0.995725,False,True
83,156,0,0.9956722222222222,False,True
84,149,0,0.9956194444444444,False,True
85,146,0,0.9955666666666667,False,True
86,71,0,0.9955138888888889,False,True
87,196,0,0.9954611111111111,False,True
88,116,0,0.9954083333333333,False,True
89,11,0,0.9953555555555555,False,True
90,400,0,0.9953027777777778,False,False
91,189,0,0.99525,False,True
92,78,0,0.9951972222222222,False,True
93,123,0,0.9951444444444445,False,True
94,201,1,0.9950916666666667,True,False
95,287,1,0.9950388888888889,True,False
96,60,0,0.9949861111111111,False,True
97,267,0,0.9949333333333333,False,True
98,203,0,0.9948805555555555,False,True
99,400,0,0.9948277777777778,False,False
100,400,0,0.994775,False,False
101,196,1,0.9947222222222222,True,False
102,12,0,0.9946694444444445,False,True
103,36,0,0.9946166666666667,False,True
104,64,0,0.9945638888888889,False,True
105,38,0,0.9945111111111111,False,True
106,105,0,0.9944583333333333,False,True
107,315,1,0.9944055555555555,True,False
108,87,0,0.9943527777777778,False,True
109,89,0,0.9943,False,True
110,77,0,0.9942472222222222,False,True
111,304,0,0.9941944444444445,False,True
112,234,1,0.9941416666666667,True,False
113,146,0,0.9940888888888889,False,True
114,173,0,0.9940361111111111,False,True
115,86,0,0.9939833333333333,False,True
116,400,0,0.9939305555555555,False,False
117,83,0,0.9938777777777777,False,True
118,248,0,0.993825,False,True
119,20,0,0.9937722222222222,False,True
120,400,0,0.9937194444444445,False,False
121,159,0,0.9936666666666667,False,True
122,398,0,0.9936138888888889,False,True
123,371,0,0.9935611111111111,False,True
124,400,0,0.9935083333333333,False,False
125,65,0,0.9934555555555555,False,True
126,336,0,0.9934027777777777,False,True
127,21,0,0.99335,False,True
128,25,0,0.9932972222222223,False,True
129,73,0,0.9932444444444445,False,True
130,18,0,0.9931916666666667,False,True
131,232,1,0.9931388888888889,True,False
132,400,0,0.9930861111111111,False,False
133,99,0,0.9930333333333333,False,True
134,89,0,0.9929805555555555,False,True
135,227,0,0.9929277777777777,False,True
136,112,0,0.992875,False,True
137,107,0,0.9928222222222223,False,True
138,41,0,0.9927694444444445,False,True
139,196,0,0.9927166666666667,False,True
140,154,0,0.9926638888888889,False,True
141,61,0,0.9926111111111111,False,True
142,284,1,0.9925583333333333,True,False
143,256,1,0.9925055555555555,True,False
144,279,0,0.9924527777777777,False,True
145,204,0,0.9924,False,True
146,148,0,0.9923472222222223,False,True
147,146,0,0.9922944444444445,False,True
148,104,1,0.9922416666666667,True,False
149,12,0,0.9921888888888889,False,True
150,15,0,0.9921361111111111,False,True
151,120,0,0.9920833333333333,False,True
152,164,0,0.9920305555555555,False,True
153,400,0,0.9919777777777777,False,False
154,400,0,0.991925,False,False
155,41,0,0.9918722222222223,False,True
156,192,0,0.9918194444444445,False,True
157,34,0,0.9917666666666667,False,True
158,14,0,0.9917138888888889,False,True
159,25,0,0.9916611111111111,False,True
160,282,0,0.9916083333333333,False,True
161,238,1,0.9915555555555555,True,False
162,198,1,0.9915027777777777,True,False
163,27,0,0.99145,False,True
164,101,0,0.9913972222222223,False,True
165,51,0,0.9913444444444445,False,True
166,366,0,0.9912916666666667,False,True
167,400,0,0.9912388888888889,False,False
168,38,0,0.9911861111111111,False,True
169,173,0,0.9911333333333333,False,True
170,158,0,0.9910805555555555,False,True
171,25,0,0.9910277777777777,False,True
